# 10-Minute Meditation Session
# Date: 2026-01-21T18:51:32.146497
# Duration: 600 seconds
# Samples: 29629
# Type: Guided meditation
#
timestamp_ms,thermistor,piezo,ir,red
18881,1664,183,207593,204571
18901,1680,159,207643,204583
18921,1672,158,207646,204596
18941,1665,143,207674,204592
18961,1687,134,207728,204644
18981,1687,143,207765,204668
19001,1662,127,207821,204663
19021,1672,127,207800,204675
19041,1672,120,207748,204622
19061,1672,115,207658,204588
19081,1688,100,207571,204568
19101,1696,98,207534,204556
19121,1691,88,207513,204513
19141,1684,99,207511,204541
19161,1682,87,207545,204564
19181,1703,74,207563,204556
19205,1691,221,207556,204576
19225,1695,215,207560,204587
19245,1690,179,207613,204609
19265,1695,189,207636,204624
19285,1705,193,207679,204614
19305,1719,159,207712,204645
19325,1704,167,207704,204634
